                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4225,                 8.0967,                 1.4845,                0.00561,                0.02667,                0.00117,                0.00055,                 2.3748,                 9.7301,                 1.4829,                  2e-05,                  2e-05,                  2e-05
                      2,                 2.2648,                 6.2896,                   1.42,                 0.2868,                   0.16,                0.10242,                0.04849,                 1.9205,                 4.9429,                 1.2914,             5.9406e-05,             5.9406e-05,             5.9406e-05
                      3,                 2.0541,                 3.4345,                  1.236,                 0.8292,                0.71209,                0.81985,                0.39788,                 1.6254,                 3.4164,                 1.1651,              9.802e-05,              9.802e-05,              9.802e-05
                      4,                 1.7959,                 2.1368,                 1.2373,                0.84963,                0.97943,                0.97209,                0.57443,                 1.3496,                 2.3309,                 1.0594,             0.00013584,             0.00013584,             0.00013584
                      5,                 1.4255,                 1.7061,                 1.0257,                0.95563,                      1,                0.98929,                0.61678,                 1.3603,                  2.043,                 1.0567,             0.00017287,             0.00017287,             0.00017287
                      6,                 1.5089,                 1.4324,                 1.0681,                0.97662,                0.94667,                0.98943,                0.61341,                 1.3098,                 1.5883,                 1.0301,             0.00020911,             0.00020911,             0.00020911
                      7,                 1.2796,                 1.1543,                0.98851,                0.78425,                0.98667,                0.84804,                0.56474,                 1.1725,                 1.7039,                0.99167,             0.00024456,             0.00024456,             0.00024456
                      8,                 1.3188,                 1.0629,                0.95013,                0.51759,                0.90667,                0.55048,                0.37084,                 1.1327,                 2.7211,                0.96332,             0.00027921,             0.00027921,             0.00027921
                      9,                 1.2558,                0.90356,                0.95898,                0.61093,                0.87932,                0.65587,                0.44884,                 1.1161,                 2.5319,                 0.9593,             0.00031307,             0.00031307,             0.00031307
                     10,                 1.1631,                0.88521,                0.95486,                0.73887,                0.74667,                0.82618,                0.56919,                 1.0838,                 2.1585,                0.95289,             0.00034614,             0.00034614,             0.00034614
                     11,                 1.2911,                 1.0016,                 1.0372,                0.57396,                0.93333,                0.71187,                0.48318,                 1.0796,                 1.8628,                0.95247,             0.00037842,             0.00037842,             0.00037842
                     12,                 1.1341,                0.82158,                0.94517,                0.89547,                0.74667,                0.92708,                0.64569,                 1.0803,                 1.5189,                0.95962,             0.00040991,             0.00040991,             0.00040991
                     13,                 1.2445,                0.76534,                0.99547,                0.98581,                0.98667,                0.99333,                0.69995,                 1.0687,                 1.4111,                0.95586,              0.0004406,              0.0004406,              0.0004406
                     14,                 1.1237,                0.68012,                0.97661,                0.82864,                0.96716,                0.96946,                0.68961,                 1.0487,                 1.3435,                0.94712,              0.0004705,              0.0004705,              0.0004705
                     15,                 1.2323,                0.70735,                0.99954,                0.77924,                      1,                0.95602,                0.66806,                 1.0508,                 1.2036,                0.94993,             0.00049961,             0.00049961,             0.00049961
                     16,                   1.12,                0.65155,                0.92622,                0.97434,                0.97333,                0.99396,                0.69058,                 1.0952,                 1.1411,                0.96175,             0.00052793,             0.00052793,             0.00052793
                     17,                 1.1673,                0.67826,                0.99313,                 0.9867,                0.98954,                0.99474,                0.69506,                 1.0776,                 1.0363,                 0.9526,             0.00055546,             0.00055546,             0.00055546
                     18,                 1.0801,                 0.6844,                0.90181,                0.94592,                0.93279,                0.98458,                0.69717,                 1.0685,                 1.0283,                 0.9529,             0.00058219,             0.00058219,             0.00058219
                     19,                  1.236,                0.67065,                 1.0031,                0.95953,                 0.9483,                0.99091,                 0.7093,                 1.0583,                 1.0545,                0.95274,             0.00060813,             0.00060813,             0.00060813
                     20,                   1.02,                0.60142,                0.99655,                0.98385,                      1,                0.99487,                 0.6851,                 1.0874,                 1.0618,                0.95743,             0.00063328,             0.00063328,             0.00063328
                     21,                 1.1766,                0.68076,                0.94367,                0.96742,                0.94667,                0.98614,                 0.6714,                 1.1356,                 1.0574,                0.97181,             0.00065764,             0.00065764,             0.00065764
                     22,                 1.1568,                0.65975,                0.92575,                0.98481,                      1,                  0.995,                0.71056,                 1.0474,                0.82228,                0.94847,             0.00068121,             0.00068121,             0.00068121
                     23,                 1.1575,                0.63683,                0.98744,                0.98574,                      1,                0.99487,                0.72545,                0.98893,                0.74693,                0.93186,             0.00070398,             0.00070398,             0.00070398
                     24,                 1.0538,                0.56202,                0.94429,                0.98581,                      1,                0.99368,                0.68332,                 1.0015,                0.66986,                0.94028,             0.00072596,             0.00072596,             0.00072596
                     25,                 1.0754,                0.57677,                0.99214,                0.98558,                      1,                0.99395,                0.68481,                 1.1055,                0.66285,                0.96246,             0.00074715,             0.00074715,             0.00074715
                     26,                 1.0889,                0.62287,                0.96803,                0.98595,                      1,                0.99395,                0.68456,                 1.1251,                0.73252,                0.95902,             0.00076755,             0.00076755,             0.00076755
                     27,                 1.0863,                0.59117,                0.89485,                0.98602,                      1,                0.99474,                0.69937,                 1.0621,                0.71002,                0.94306,             0.00078716,             0.00078716,             0.00078716
                     28,                 1.0554,                0.56698,                0.92943,                0.98602,                      1,                0.99474,                0.69937,                 1.0621,                0.71002,                0.94306,             0.00080597,             0.00080597,             0.00080597
                     29,                0.95728,                0.55456,                0.91886,                0.98595,                      1,                0.99487,                0.72554,                 1.0817,                0.64166,                0.94856,             0.00082399,             0.00082399,             0.00082399
                     30,                 1.0345,                 0.5371,                0.95696,                0.99922,                      1,                  0.995,                0.71104,                 1.0588,                0.65592,                0.94744,             0.00084122,             0.00084122,             0.00084122
                     31,                 1.0747,                 0.5296,                0.98145,                0.99922,                      1,                  0.995,                0.71104,                 1.0588,                0.65592,                0.94744,             0.00085766,             0.00085766,             0.00085766
                     32,                0.95687,                0.53664,                0.94732,                0.99928,                      1,                  0.995,                0.70506,                  1.027,                0.61513,                0.94426,             0.00087331,             0.00087331,             0.00087331
                     33,                 1.0513,                0.55329,                0.94737,                 0.9868,                0.99712,                0.98368,                0.68375,                 1.0975,                0.59437,                0.95742,             0.00088816,             0.00088816,             0.00088816
                     34,                0.98482,                0.55529,                 0.8949,                 0.9868,                0.99712,                0.98368,                0.68375,                 1.0975,                0.59437,                0.95742,             0.00090222,             0.00090222,             0.00090222
                     35,                  1.107,                0.58114,                0.91469,                0.97401,                0.99924,                0.99474,                0.67059,                 1.2239,                 0.6479,                0.99037,             0.00091549,             0.00091549,             0.00091549
                     36,                 1.0709,                0.56316,                0.92394,                0.99805,                      1,                  0.995,                0.71912,                 1.0816,                0.65154,                0.95332,             0.00092797,             0.00092797,             0.00092797
                     37,                 1.0216,                0.56668,                0.91873,                0.99805,                      1,                  0.995,                0.71912,                 1.0816,                0.65154,                0.95332,             0.00093966,             0.00093966,             0.00093966
                     38,                 1.0737,                0.55593,                0.90238,                0.99871,                      1,                  0.995,                0.74852,                0.92053,                0.57025,                0.91631,             0.00095055,             0.00095055,             0.00095055
                     39,                 1.0587,                0.53919,                0.92736,                0.99895,                      1,                  0.995,                0.74552,                 0.9211,                0.53267,                 0.9139,             0.00096065,             0.00096065,             0.00096065
                     40,                 1.1029,                0.58235,                0.89685,                0.99895,                      1,                  0.995,                0.74552,                 0.9211,                0.53267,                 0.9139,             0.00096996,             0.00096996,             0.00096996
                     41,                 1.1623,                0.58528,                0.98001,                0.99909,                      1,                  0.995,                0.73445,                0.95826,                0.55018,                 0.9192,             0.00097848,             0.00097848,             0.00097848
                     42,                 1.0394,                0.54486,                0.91546,                0.99902,                      1,                  0.995,                0.68599,                 1.0906,                0.56395,                0.94242,             0.00098621,             0.00098621,             0.00098621
                     43,                 1.0246,                0.54934,                0.89937,                0.99902,                      1,                  0.995,                0.68599,                 1.0906,                0.56395,                0.94242,             0.00099314,             0.00099314,             0.00099314
                     44,                 1.0056,                0.52353,                0.89215,                0.99899,                      1,                  0.995,                0.70626,                 1.0465,                0.55467,                0.93725,             0.00099928,             0.00099928,             0.00099928
                     45,                 1.0121,                0.55414,                0.96728,                0.99899,                      1,                  0.995,                0.70626,                 1.0465,                0.55467,                0.93725,              0.0010046,              0.0010046,              0.0010046
                     46,                  1.092,                  0.546,                0.94815,                0.99935,                      1,                  0.995,                0.76198,                0.91444,                0.56045,                0.91023,              0.0010092,              0.0010092,              0.0010092
                     47,                0.96681,                  0.567,                0.89157,                0.99935,                      1,                  0.995,                0.76198,                0.91444,                0.56045,                0.91023,               0.001013,               0.001013,               0.001013
                     48,                 1.0279,                0.53917,                0.90397,                0.98471,                      1,                0.99487,                0.76225,                 0.8858,                0.50358,                0.90377,              0.0010159,              0.0010159,              0.0010159
                     49,                0.93976,                0.54469,                0.91973,                0.98471,                      1,                0.99487,                0.76225,                 0.8858,                0.50358,                0.90377,              0.0010181,              0.0010181,              0.0010181
                     50,                 1.1024,                0.56435,                0.95651,                 0.9997,                      1,                  0.995,                0.74173,                0.92686,                0.53118,                0.91391,              0.0010195,              0.0010195,              0.0010195
